url,title,category
https://wathotel.com/,"WAT HOTEL トップページ","トップ"
https://wathotel.com/_downloads.html,"ダウンロード一覧","その他"
https://wathotel.com/room.html,"客室一覧","客室"
https://wathotel.com/room-id=room01.html,"客室詳細 01","客室"
https://wathotel.com/room-id=room02.html,"客室詳細 02","客室"
https://wathotel.com/room-id=room03.html,"客室詳細 03","客室"
https://wathotel.com/room-id=room04.html,"客室詳細 04","客室"
https://wathotel.com/room-id=room05.html,"客室詳細 05","客室"
https://wathotel.com/room-id=room06.html,"客室詳細 06","客室"
https://wathotel.com/room-id=room07.html,"客室詳細 07","客室"
https://wathotel.com/room-id=room08.html,"客室詳細 08","客室"
https://wathotel.com/room-id=room09.html,"客室詳細 09","客室"
https://wathotel.com/room-id=room10.html,"客室詳細 10","客室"
https://wathotel.com/room-id=room11.html,"客室詳細 11","客室"
https://wathotel.com/spa.html,"大浴場・スパ","館内施設"
https://wathotel.com/service.html,"サービスのご案内","館内施設"
https://wathotel.com/access.html,"アクセス","アクセス"
https://wathotel.com/guide.html,"周辺ガイド（総合）","周辺情報"
https://wathotel.com/guide-id=guide_list01.html,"周辺ガイド リスト01","周辺情報"
https://wathotel.com/guide-id=guide_list02.html,"周辺ガイド リスト02","周辺情報"
https://wathotel.com/guide-id=guide_list03.html,"周辺ガイド リスト03","周辺情報"
https://wathotel.com/guide-id=guide_list04.html,"周辺ガイド リスト04","周辺情報"
https://wathotel.com/guide-id=guide_list05.html,"周辺ガイド リスト05","周辺情報"
https://wathotel.com/guide-id=guide_list06.html,"周辺ガイド リスト06","周辺情報"
https://wathotel.com/guide-id=guide_list07.html,"周辺ガイド リスト07","周辺情報"
https://wathotel.com/faq.html,"よくあるご質問","サポート"
https://wathotel.com/contact.html,"お問い合わせ","サポート"
https://wathotel.com/grouptour.html,"団体・ツアー向け案内","サポート"
https://wathotel.com/member.html,"会員・ポイントメンバー案内","会員"
https://wathotel.com/company.html,"会社概要","企業情報"
https://wathotel.com/privacy.html,"プライバシーポリシー","企業情報"
https://wathotel.com/terms.html,"利用規約","企業情報"
https://wathotel.com/robots.txt,"robots.txt","システム"
https://wathotel.com/english/,"English Top","英語版"
https://wathotel.com/data/wathotel_pointmember.pdf,"ポイントメンバー PDF","資料"
https://wathotel.com/data/workation.pdf,"ワーケーション PDF","資料"
https://wathotel.com/system/news.php.html,"ニュース一覧（テンプレート）","お知らせ"
